Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
21-Aug-15,71,93,82,-
22-Aug-15,76,97,86.5,-
23-Aug-15,79,98,88.5,-
24-Aug-15,78,100,89,-
25-Aug-15,78,93,85.5,-
26-Aug-15,74,95,84.5,-
27-Aug-15,72,97,84.5,-
28-Aug-15,72,97,84.5,-
29-Aug-15,78,96,87,-
30-Aug-15,75,97,86,-
31-Aug-15,74,95,84.5,-
1-Sep-15,75,95,85,-
2-Sep-15,73,95,84,-
3-Sep-15,75,95,85,-
4-Sep-15,78,96,87,-
5-Sep-15,78,97,87.5,-
6-Sep-15,79,100,89.5,-
7-Sep-15,79,101,90,-
8-Sep-15,80,99,89.5,-
9-Sep-15,73,88,80.5,2
10-Sep-15,74,94,84,-
11-Sep-15,73,94,83.5,-
12-Sep-15,66,86,76,-
13-Sep-15,64,91,77.5,-
14-Sep-15,69,90,79.5,-
15-Sep-15,69,89,79,-
16-Sep-15,75,92,83.5,-
17-Sep-15,75,94,84.5,-
18-Sep-15,76,95,85.5,-
19-Sep-15,74,86,80,0.14
20-Sep-15,72,88,80,-
21-Sep-15,69,95,82,-
22-Sep-15,72,94,83,-
23-Sep-15,71,93,82,-
24-Sep-15,70,93,81.5,-
25-Sep-15,71,93,82,-
26-Sep-15,67,91,79,-
27-Sep-15,67,91,79,-
28-Sep-15,68,90,79,-
29-Sep-15,71,92,81.5,-
30-Sep-15,70,92,81,-
1-Oct-15,65,81,73,-
2-Oct-15,57,81,69,-
3-Oct-15,54,80,67,-
4-Oct-15,57,81,69,-
5-Oct-15,63,82,72.5,-
6-Oct-15,58,84,71,-
7-Oct-15,66,89,77.5,-
8-Oct-15,68,91,79.5,-
9-Oct-15,66,90,78,-
10-Oct-15,59,84,71.5,-
11-Oct-15,64,95,79.5,-
12-Oct-15,73,94,83.5,-
13-Oct-15,56,90,73,-
14-Oct-15,57,96,76.5,-
15-Oct-15,63,95,79,-
16-Oct-15,63,85,74,-
17-Oct-15,58,79,68.5,-
18-Oct-15,54,79,66.5,-
19-Oct-15,54,83,68.5,-
20-Oct-15,57,84,70.5,-
21-Oct-15,69,86,77.5,-
22-Oct-15,66,78,72,2
23-Oct-15,69,76,72.5,4.02
24-Oct-15,60,69,64.5,1.49
25-Oct-15,57,65,61,0.03
26-Oct-15,55,77,66,-
27-Oct-15,58,79,68.5,-
28-Oct-15,55,77,66,-
29-Oct-15,51,78,64.5,-
30-Oct-15,61,69,65,1.39
31-Oct-15,59,68,63.5,0.62
1-Nov-15,56,66,61,0.01
2-Nov-15,52,74,63,-
3-Nov-15,57,72,64.5,-
4-Nov-15,60,76,68,0.05
5-Nov-15,67,81,74,0.1
6-Nov-15,56,70,63,-
7-Nov-15,51,69,60,0.17
8-Nov-15,46,68,57,-
9-Nov-15,53,68,60.5,-
10-Nov-15,51,77,64,-
11-Nov-15,59,83,71,-
12-Nov-15,47,68,57.5,-
13-Nov-15,45,68,56.5,-
14-Nov-15,47,65,56,-
15-Nov-15,54,64,59,0.46
16-Nov-15,55,75,65,0.3
17-Nov-15,53,76,64.5,0.74
18-Nov-15,49,71,60,-
19-Nov-15,46,70,58,-
20-Nov-15,50,74,62,-
21-Nov-15,38,60,49,-
22-Nov-15,30,56,43,-
23-Nov-15,36,64,50,-
24-Nov-15,43,66,54.5,-
25-Nov-15,61,75,68,-
26-Nov-15,66,72,69,2.64
27-Nov-15,39,70,54.5,3.47
28-Nov-15,38,42,40,1.04
29-Nov-15,40,44,42,0.87
30-Nov-15,43,50,46.5,0.01
1-Dec-15,38,52,45,-
2-Dec-15,38,60,49,-
3-Dec-15,35,61,48,-
4-Dec-15,39,60,49.5,-
5-Dec-15,37,61,49,-
6-Dec-15,41,65,53,-
7-Dec-15,38,68,53,-
8-Dec-15,44,72,58,-
9-Dec-15,44,71,57.5,-
10-Dec-15,49,76,62.5,-
11-Dec-15,45,77,61,-
12-Dec-15,70,75,72.5,0.06
13-Dec-15,51,74,62.5,0.65
14-Dec-15,44,70,57,-
15-Dec-15,48,72,60,-
16-Dec-15,43,61,52,-
17-Dec-15,33,60,46.5,-
18-Dec-15,31,51,41,-
19-Dec-15,34,63,48.5,-
20-Dec-15,49,65,57,-
21-Dec-15,49,73,61,-
22-Dec-15,44,74,59,-
23-Dec-15,53,75,64,-
24-Dec-15,50,75,62.5,-
25-Dec-15,44,73,58.5,-
26-Dec-15,50,82,66,0.79
27-Dec-15,41,51,46,1.78
28-Dec-15,33,41,37,0.55
29-Dec-15,31,47,39,-
30-Dec-15,36,53,44.5,-
31-Dec-15,33,53,43,-
1-Jan-16,39,49,44,-
2-Jan-16,38,51,44.5,-
3-Jan-16,37,60,48.5,-
4-Jan-16,32,54,43,-
5-Jan-16,32,47,39.5,-
6-Jan-16,42,50,46,0.78
7-Jan-16,48,64,56,0.06
8-Jan-16,43,58,50.5,-
9-Jan-16,36,47,41.5,-
10-Jan-16,28,43,35.5,-
11-Jan-16,31,50,40.5,-
12-Jan-16,31,63,47,-
13-Jan-16,37,67,52,-
14-Jan-16,40,68,54,-
15-Jan-16,45,64,54.5,-
16-Jan-16,35,48,41.5,0.01
17-Jan-16,29,55,42,-
18-Jan-16,27,46,36.5,-
19-Jan-16,35,66,50.5,-
20-Jan-16,33,51,42,-
21-Jan-16,37,52,44.5,0.19
22-Jan-16,31,49,40,-
23-Jan-16,27,50,38.5,-
24-Jan-16,37,63,50,-
25-Jan-16,48,66,57,-
26-Jan-16,39,49,44,-
27-Jan-16,31,56,43.5,-
28-Jan-16,33,69,51,-
29-Jan-16,38,77,57.5,-
30-Jan-16,45,76,60.5,-
31-Jan-16,49,73,61,-
1-Feb-16,43,73,58,-
2-Feb-16,45,66,55.5,-
3-Feb-16,36,52,44,-
4-Feb-16,31,55,43,-
5-Feb-16,32,59,45.5,-
6-Feb-16,35,54,44.5,-
7-Feb-16,32,65,48.5,-
8-Feb-16,41,57,49,-
9-Feb-16,38,63,50.5,-
10-Feb-16,34,74,54,-
11-Feb-16,41,75,58,-
12-Feb-16,41,71,56,-
13-Feb-16,36,67,51.5,-
14-Feb-16,58,67,62.5,-
15-Feb-16,50,72,61,-
16-Feb-16,44,73,58.5,-
17-Feb-16,43,71,57,-
18-Feb-16,48,75,61.5,-
19-Feb-16,61,79,70,-
20-Feb-16,65,77,71,-
21-Feb-16,54,72,63,0.33
22-Feb-16,51,61,56,0.12
23-Feb-16,42,55,48.5,1.75
24-Feb-16,41,61,51,-
25-Feb-16,41,59,50,-
26-Feb-16,32,61,46.5,-
27-Feb-16,41,72,56.5,-
28-Feb-16,54,76,65,-
29-Feb-16,50,77,63.5,-
1-Mar-16,49,71,60,-
2-Mar-16,44,71,57.5,-
3-Mar-16,51,74,62.5,-
4-Mar-16,41,71,56,-
5-Mar-16,48,78,63,-
6-Mar-16,54,72,63,-
7-Mar-16,63,73,68,0.04
8-Mar-16,54,70,62,0.97
9-Mar-16,58,62,60,0.57
10-Mar-16,58,63,60.5,0.33
11-Mar-16,59,62,60.5,0.07
12-Mar-16,57,72,64.5,0.11
13-Mar-16,56,80,68,-
14-Mar-16,51,89,70,-
15-Mar-16,57,83,70,-
16-Mar-16,50,77,63.5,-
17-Mar-16,56,68,62,-
18-Mar-16,49,67,58,-
19-Mar-16,42,60,51,-
20-Mar-16,39,57,48,-
21-Mar-16,34,66,50,-
22-Mar-16,49,76,62.5,-
23-Mar-16,59,82,70.5,0.5
24-Mar-16,46,63,54.5,-
25-Mar-16,41,69,55,-
26-Mar-16,47,76,61.5,-
27-Mar-16,50,64,57,-
28-Mar-16,43,70,56.5,-
29-Mar-16,52,75,63.5,-
30-Mar-16,64,80,72,0.16
31-Mar-16,56,75,65.5,-
1-Apr-16,52,65,58.5,-
2-Apr-16,45,70,57.5,-
3-Apr-16,43,77,60,-
4-Apr-16,48,85,66.5,-
5-Apr-16,55,86,70.5,-
6-Apr-16,58,79,68.5,-
7-Apr-16,51,86,68.5,-
8-Apr-16,54,75,64.5,-
9-Apr-16,55,71,63,0.04
10-Apr-16,62,77,69.5,-
11-Apr-16,61,89,75,0.04
12-Apr-16,58,71,64.5,-
13-Apr-16,54,62,58,0.03
14-Apr-16,57,76,66.5,-
15-Apr-16,54,75,64.5,-
16-Apr-16,64,81,72.5,-
17-Apr-16,62,71,66.5,1.6
18-Apr-16,64,75,69.5,0.79
19-Apr-16,63,78,70.5,-
20-Apr-16,61,74,67.5,1.12
21-Apr-16,61,80,70.5,0.18
22-Apr-16,57,82,69.5,-
23-Apr-16,57,82,69.5,-
24-Apr-16,63,79,71,-
25-Apr-16,68,86,77,-
26-Apr-16,63,85,74,0.73
27-Apr-16,62,82,72,-
28-Apr-16,59,84,71.5,-
29-Apr-16,69,87,78,0.07
30-Apr-16,62,76,69,-
1-May-16,58,74,66,-
2-May-16,54,68,61,0.6
3-May-16,48,74,61,-
4-May-16,58,82,70,-
5-May-16,57,83,70,-
6-May-16,55,84,69.5,-
7-May-16,58,85,71.5,-
8-May-16,69,75,72,0.12
9-May-16,67,90,78.5,0.05
10-May-16,71,93,82,0.16
11-May-16,65,87,76,0.25
12-May-16,67,83,75,0.06
13-May-16,62,84,73,-
14-May-16,61,74,67.5,0.58
15-May-16,60,75,67.5,-
16-May-16,65,79,72,0.19
17-May-16,62,82,72,0.1
18-May-16,57,64,60.5,0.08
19-May-16,60,72,66,0.56
20-May-16,59,82,70.5,-
21-May-16,63,85,74,-
22-May-16,71,86,78.5,-
23-May-16,66,82,74,0.19
24-May-16,74,87,80.5,0.01
25-May-16,78,86,82,-
26-May-16,67,81,74,0.15
27-May-16,66,82,74,0.92
28-May-16,67,88,77.5,-
29-May-16,67,88,77.5,0.4
30-May-16,68,85,76.5,0.67
31-May-16,69,86,77.5,1.16
1-Jun-16,69,83,76,0.4
2-Jun-16,70,76,73,1.82
3-Jun-16,68,86,77,0.16
4-Jun-16,71,88,79.5,0.12
5-Jun-16,70,90,80,-
6-Jun-16,66,89,77.5,-
7-Jun-16,70,94,82,-
8-Jun-16,70,93,81.5,-
9-Jun-16,73,93,83,-
10-Jun-16,73,93,83,-
11-Jun-16,76,90,83,0.12
12-Jun-16,74,93,83.5,0.84
13-Jun-16,73,92,82.5,0.14
14-Jun-16,73,93,83,-
15-Jun-16,78,95,86.5,-
16-Jun-16,79,98,88.5,-
17-Jun-16,74,98,86,-
18-Jun-16,77,97,87,-
19-Jun-16,74,95,84.5,-
20-Jun-16,75,98,86.5,-
21-Jun-16,80,98,89,-
22-Jun-16,80,97,88.5,-
23-Jun-16,80,96,88,-
24-Jun-16,77,95,86,-
25-Jun-16,79,96,87.5,-
26-Jun-16,79,97,88,-
27-Jun-16,79,99,89,-
28-Jun-16,78,98,88,-
29-Jun-16,75,95,85,-
30-Jun-16,76,96,86,-
1-Jul-16,76,98,87,-
2-Jul-16,80,97,88.5,-
3-Jul-16,78,97,87.5,0.08
4-Jul-16,72,93,82.5,1.87
5-Jul-16,75,93,84,1.56
6-Jul-16,79,97,88,-
7-Jul-16,78,97,87.5,-
8-Jul-16,79,97,88,-
9-Jul-16,73,95,84,0.03
10-Jul-16,72,94,83,-
11-Jul-16,79,96,87.5,-
12-Jul-16,77,95,86,-
13-Jul-16,79,99,89,-
14-Jul-16,79,97,88,-
15-Jul-16,71,93,82,0.43
16-Jul-16,75,97,86,-
17-Jul-16,79,96,87.5,-
18-Jul-16,79,95,87,-
19-Jul-16,80,97,88.5,-
20-Jul-16,80,97,88.5,-
21-Jul-16,79,99,89,-
22-Jul-16,79,100,89.5,-
23-Jul-16,81,100,90.5,-
24-Jul-16,81,100,90.5,-
25-Jul-16,79,100,89.5,0.03
26-Jul-16,77,98,87.5,-
27-Jul-16,79,96,87.5,-
28-Jul-16,79,97,88,-
29-Jul-16,77,96,86.5,-
30-Jul-16,81,99,90,-
31-Jul-16,81,99,90,-
1-Aug-16,79,101,90,-
2-Aug-16,77,100,88.5,-
3-Aug-16,80,101,90.5,-
4-Aug-16,82,101,91.5,-
5-Aug-16,81,101,91,-
6-Aug-16,82,101,91.5,-
7-Aug-16,83,101,92,-
8-Aug-16,82,102,92,-
9-Aug-16,83,102,92.5,-
10-Aug-16,83,102,92.5,-
11-Aug-16,82,103,92.5,-
12-Aug-16,79,107,93,0.82
13-Aug-16,78,94,86,-
14-Aug-16,75,92,83.5,-
15-Aug-16,71,80,75.5,0.06
16-Aug-16,72,86,79,-
17-Aug-16,74,83,78.5,0.05
18-Aug-16,75,90,82.5,0.08
19-Aug-16,70,86,78,2.1
20-Aug-16,73,83,78,1.15
21-Aug-16,73,91,82,-
22-Aug-16,74,90,82,0.08
23-Aug-16,78,94,86,-
24-Aug-16,75,94,84.5,-
25-Aug-16,75,95,85,-
26-Aug-16,76,91,83.5,-
27-Aug-16,73,92,82.5,-
28-Aug-16,74,92,83,-
29-Aug-16,74,92,83,0.08
30-Aug-16,75,94,84.5,-
31-Aug-16,77,95,86,-
1-Sep-16,74,92,83,-
2-Sep-16,73,89,81,-
3-Sep-16,72,90,81,-
4-Sep-16,71,93,82,-
5-Sep-16,76,93,84.5,-
6-Sep-16,77,94,85.5,-
7-Sep-16,78,95,86.5,-
8-Sep-16,79,95,87,-
9-Sep-16,76,95,85.5,-
10-Sep-16,69,85,77,0.11
11-Sep-16,65,89,77,-
12-Sep-16,67,92,79.5,-
13-Sep-16,74,94,84,-
14-Sep-16,76,93,84.5,-
15-Sep-16,76,95,85.5,-
16-Sep-16,76,96,86,-
17-Sep-16,76,96,86,-
18-Sep-16,71,98,84.5,-
19-Sep-16,78,100,89,0.35
20-Sep-16,79,100,89.5,-
21-Sep-16,74,95,84.5,-
22-Sep-16,72,94,83,-
23-Sep-16,77,94,85.5,-
24-Sep-16,75,91,83,0.38
25-Sep-16,72,80,76,0.12
26-Sep-16,63,72,67.5,-
27-Sep-16,64,79,71.5,-
28-Sep-16,57,91,74,-
29-Sep-16,62,79,70.5,-
30-Sep-16,58,81,69.5,-
1-Oct-16,62,84,73,-
2-Oct-16,61,85,73,-
3-Oct-16,63,87,75,-
4-Oct-16,71,90,80.5,-
5-Oct-16,74,94,84,-
6-Oct-16,75,93,84,-
7-Oct-16,61,79,70,1.64
8-Oct-16,55,78,66.5,-
9-Oct-16,54,77,65.5,-
10-Oct-16,56,82,69,-
11-Oct-16,56,88,72,-
12-Oct-16,63,91,77,-
13-Oct-16,60,76,68,-
14-Oct-16,61,76,68.5,0.06
15-Oct-16,68,88,78,-
16-Oct-16,74,91,82.5,-
17-Oct-16,73,92,82.5,-
18-Oct-16,74,92,83,-
19-Oct-16,73,91,82,-
20-Oct-16,59,78,68.5,0.31
21-Oct-16,53,74,63.5,-
22-Oct-16,51,79,65,-
23-Oct-16,57,80,68.5,-
24-Oct-16,66,85,75.5,-
25-Oct-16,63,81,72,-
26-Oct-16,65,86,75.5,-
27-Oct-16,64,88,76,-
28-Oct-16,64,86,75,-
29-Oct-16,65,86,75.5,-
30-Oct-16,63,88,75.5,-
31-Oct-16,61,87,74,-
1-Nov-16,70,88,79,-
2-Nov-16,74,85,79.5,-
3-Nov-16,68,75,71.5,0.53
4-Nov-16,65,76,70.5,-
5-Nov-16,61,71,66,-
6-Nov-16,61,70,65.5,0.14
7-Nov-16,60,68,64,1.21
8-Nov-16,61,65,63,0.48
9-Nov-16,56,68,62,-
10-Nov-16,51,72,61.5,-
11-Nov-16,52,78,65,-
12-Nov-16,54,70,62,-
13-Nov-16,54,73,63.5,-
14-Nov-16,56,81,68.5,-
15-Nov-16,50,85,67.5,-
16-Nov-16,53,87,70,-
17-Nov-16,58,80,69,-
18-Nov-16,49,72,60.5,0.05
19-Nov-16,38,59,48.5,-
20-Nov-16,37,66,51.5,-
21-Nov-16,39,73,56,-
22-Nov-16,62,76,69,-
23-Nov-16,51,68,59.5,-
24-Nov-16,44,73,58.5,-
25-Nov-16,50,64,57,-
26-Nov-16,46,67,56.5,-
27-Nov-16,55,69,62,-
28-Nov-16,54,73,63.5,0.81
29-Nov-16,51,74,62.5,-
30-Nov-16,42,62,52,-
1-Dec-16,36,67,51.5,-
2-Dec-16,43,65,54,0.01
3-Dec-16,48,57,52.5,0.37
4-Dec-16,48,53,50.5,0.02
5-Dec-16,47,53,50,0.14
6-Dec-16,45,53,49,0.01
7-Dec-16,35,51,43,-
8-Dec-16,28,40,34,-
9-Dec-16,24,38,31,-
10-Dec-16,33,49,41,-
11-Dec-16,47,74,60.5,-
12-Dec-16,35,55,45,-
13-Dec-16,43,59,51,-
14-Dec-16,37,52,44.5,-
15-Dec-16,35,46,40.5,-
16-Dec-16,46,66,56,-
17-Dec-16,22,73,47.5,-
18-Dec-16,17,30,23.5,-
19-Dec-16,16,37,26.5,-
20-Dec-16,28,58,43,-
21-Dec-16,38,66,52,-
22-Dec-16,41,58,49.5,-
23-Dec-16,40,55,47.5,0.05
24-Dec-16,54,74,64,-
25-Dec-16,69,80,74.5,-
26-Dec-16,59,73,66,-
27-Dec-16,49,71,60,-
28-Dec-16,56,83,69.5,-
29-Dec-16,46,60,53,-
30-Dec-16,39,60,49.5,-
31-Dec-16,48,74,61,-
1-Jan-17,43,66,54.5,0.07
2-Jan-17,54,73,63.5,0.5
3-Jan-17,39,61,50,-
4-Jan-17,32,40,36,-
5-Jan-17,26,40,33,-
6-Jan-17,19,27,23,0.01
7-Jan-17,14,40,27,-
8-Jan-17,20,49,34.5,-
9-Jan-17,36,69,52.5,-
10-Jan-17,57,79,68,-
11-Jan-17,56,80,68,-
12-Jan-17,46,78,62,-
13-Jan-17,41,49,45,0.2
14-Jan-17,39,44,41.5,0.01
15-Jan-17,43,66,54.5,3.15
16-Jan-17,48,66,57,0.02
17-Jan-17,43,51,47,0.28
18-Jan-17,48,54,51,0.13
19-Jan-17,48,67,57.5,-
20-Jan-17,47,78,62.5,-
21-Jan-17,48,73,60.5,0.02
22-Jan-17,48,66,57,-
23-Jan-17,41,68,54.5,-
24-Jan-17,45,80,62.5,-
25-Jan-17,42,64,53,-
26-Jan-17,33,53,43,-
27-Jan-17,33,57,45,-
28-Jan-17,38,58,48,-
29-Jan-17,42,69,55.5,-
30-Jan-17,41,78,59.5,-
31-Jan-17,42,80,61,-
1-Feb-17,53,80,66.5,-
2-Feb-17,43,55,49,-
3-Feb-17,41,54,47.5,-
4-Feb-17,46,53,49.5,-
5-Feb-17,50,78,64,-
6-Feb-17,64,82,73,-
7-Feb-17,59,80,69.5,-
8-Feb-17,45,69,57,-
9-Feb-17,36,61,48.5,-
10-Feb-17,46,77,61.5,-
11-Feb-17,63,88,75.5,-
12-Feb-17,60,73,66.5,-
13-Feb-17,47,66,56.5,0.27
14-Feb-17,43,49,46,1.24
15-Feb-17,42,61,51.5,-
16-Feb-17,37,68,52.5,-
17-Feb-17,46,71,58.5,-
18-Feb-17,59,82,70.5,-
19-Feb-17,58,77,67.5,-
20-Feb-17,56,71,63.5,0.51
21-Feb-17,51,77,64,-
22-Feb-17,47,86,66.5,-
23-Feb-17,55,88,71.5,-
24-Feb-17,47,71,59,-
25-Feb-17,35,55,45,-
26-Feb-17,40,63,51.5,0.31
27-Feb-17,59,80,69.5,-
28-Feb-17,69,83,76,-
1-Mar-17,47,73,60,-
2-Mar-17,40,67,53.5,-
3-Mar-17,42,72,57,-
4-Mar-17,50,62,56,0.04
5-Mar-17,53,66,59.5,0.14
6-Mar-17,66,84,75,-
7-Mar-17,52,73,62.5,-
8-Mar-17,45,78,61.5,-
9-Mar-17,61,81,71,-
10-Mar-17,60,72,66,-
11-Mar-17,50,76,63,-
12-Mar-17,43,55,49,-
13-Mar-17,44,66,55,0.01
14-Mar-17,37,66,51.5,-
15-Mar-17,45,67,56,-
16-Mar-17,54,75,64.5,-
17-Mar-17,67,80,73.5,-
18-Mar-17,65,85,75,-
19-Mar-17,63,86,74.5,-
20-Mar-17,67,92,79.5,-
21-Mar-17,63,87,75,-
22-Mar-17,65,86,75.5,-
23-Mar-17,66,87,76.5,-
24-Mar-17,59,80,69.5,0.32
25-Mar-17,55,74,64.5,-
26-Mar-17,51,86,68.5,-
27-Mar-17,59,73,66,-
28-Mar-17,59,82,70.5,-
29-Mar-17,58,83,70.5,0.55
30-Mar-17,53,80,66.5,-
31-Mar-17,54,86,70,-
1-Apr-17,59,77,68,-
2-Apr-17,60,72,66,2.14
3-Apr-17,51,80,65.5,-
4-Apr-17,58,86,72,-
5-Apr-17,49,73,61,-
6-Apr-17,47,78,62.5,-
7-Apr-17,51,80,65.5,-
8-Apr-17,60,83,71.5,-
9-Apr-17,67,84,75.5,-
10-Apr-17,66,82,74,0.45
11-Apr-17,61,77,69,0.28
12-Apr-17,62,77,69.5,-
13-Apr-17,62,83,72.5,-
14-Apr-17,68,82,75,-
15-Apr-17,66,81,73.5,-
16-Apr-17,67,81,74,-
17-Apr-17,64,76,70,0.45
18-Apr-17,62,82,72,-
19-Apr-17,65,85,75,-
20-Apr-17,70,85,77.5,-
21-Apr-17,62,85,73.5,-
22-Apr-17,54,64,59,-
23-Apr-17,49,75,62,-
24-Apr-17,49,78,63.5,-
25-Apr-17,63,86,74.5,-
26-Apr-17,51,76,63.5,0.05
27-Apr-17,46,77,61.5,-
28-Apr-17,66,88,77,-
29-Apr-17,57,91,74,-
30-Apr-17,50,71,60.5,0.01
1-May-17,49,85,67,-
2-May-17,58,88,73,-
3-May-17,59,82,70.5,0.02
4-May-17,55,77,66,-
5-May-17,54,81,67.5,-
6-May-17,54,88,71,-
7-May-17,59,88,73.5,-
8-May-17,64,85,74.5,-
9-May-17,67,82,74.5,-
10-May-17,72,82,77,-
11-May-17,69,89,79,0.02
12-May-17,62,82,72,-
13-May-17,58,84,71,-
14-May-17,60,91,75.5,-
15-May-17,69,90,79.5,-
16-May-17,70,85,77.5,-
17-May-17,69,91,80,0.12
18-May-17,77,94,85.5,-
19-May-17,72,89,80.5,-
20-May-17,67,82,74.5,0.06
21-May-17,63,82,72.5,0.04
22-May-17,62,82,72,0.22
23-May-17,62,78,70,0.05
24-May-17,58,83,70.5,-
25-May-17,60,93,76.5,-
26-May-17,75,96,85.5,-
27-May-17,80,92,86,-
28-May-17,72,83,77.5,0.17
29-May-17,67,89,78,-
30-May-17,66,92,79,-
31-May-17,70,92,81,-
1-Jun-17,72,87,79.5,0.15
2-Jun-17,69,87,78,1.71
3-Jun-17,69,82,75.5,1.07
4-Jun-17,70,88,79,0.09
5-Jun-17,69,87,78,-
6-Jun-17,71,95,83,-
7-Jun-17,73,91,82,-
8-Jun-17,70,89,79.5,-
9-Jun-17,66,81,73.5,0.74
10-Jun-17,72,90,81,-
11-Jun-17,74,90,82,-
12-Jun-17,77,94,85.5,-
13-Jun-17,78,94,86,-
14-Jun-17,79,94,86.5,-
15-Jun-17,78,95,86.5,-
16-Jun-17,79,96,87.5,-
17-Jun-17,79,94,86.5,-
18-Jun-17,80,95,87.5,-
19-Jun-17,74,93,83.5,0.19
20-Jun-17,77,94,85.5,-
21-Jun-17,74,94,84,-
22-Jun-17,75,93,84,-
23-Jun-17,77,100,88.5,-
24-Jun-17,70,84,77,3.96
25-Jun-17,72,88,80,-
26-Jun-17,73,88,80.5,-
27-Jun-17,74,92,83,0.51
28-Jun-17,73,91,82,-
29-Jun-17,75,93,84,-
30-Jun-17,76,96,86,-
1-Jul-17,70,84,77,1.2
2-Jul-17,74,96,85,-
3-Jul-17,79,94,86.5,-
4-Jul-17,70,93,81.5,0.33
5-Jul-17,76,94,85,0.06
6-Jul-17,73,95,84,1
7-Jul-17,78,96,87,-
8-Jul-17,77,97,87,0.15
9-Jul-17,75,93,84,-
10-Jul-17,73,95,84,-
11-Jul-17,78,96,87,-
12-Jul-17,79,95,87,-
13-Jul-17,79,96,87.5,-
14-Jul-17,79,100,89.5,-
15-Jul-17,79,94,86.5,0.04
16-Jul-17,77,97,87,-
17-Jul-17,78,95,86.5,-
18-Jul-17,79,96,87.5,-
19-Jul-17,80,98,89,-
20-Jul-17,80,100,90,-
21-Jul-17,81,100,90.5,-
22-Jul-17,80,101,90.5,-
23-Jul-17,73,101,87,-
24-Jul-17,73,92,82.5,1.34
25-Jul-17,78,96,87,-
26-Jul-17,80,98,89,-
27-Jul-17,80,99,89.5,-
28-Jul-17,83,102,92.5,-
29-Jul-17,79,99,89,-
30-Jul-17,79,94,86.5,-
31-Jul-17,73,93,83,-
1-Aug-17,75,91,83,0.02
2-Aug-17,73,81,77,0.45
3-Aug-17,75,94,84.5,-
4-Aug-17,75,96,85.5,-
5-Aug-17,76,97,86.5,-
6-Aug-17,78,99,88.5,0.04
7-Aug-17,75,94,84.5,-
8-Aug-17,75,91,83,0.01
9-Aug-17,74,94,84,-
10-Aug-17,75,100,87.5,-
11-Aug-17,81,100,90.5,-
12-Aug-17,76,98,87,1.48
13-Aug-17,77,92,84.5,0.59
14-Aug-17,74,93,83.5,0.62
15-Aug-17,80,95,87.5,-
16-Aug-17,81,96,88.5,-
17-Aug-17,73,93,83,0.17
18-Aug-17,75,93,84,-
19-Aug-17,78,100,89,-
20-Aug-17,81,98,89.5,-
21-Aug-17,79,95,87,-
22-Aug-17,79,99,89,-
23-Aug-17,76,91,83.5,-
24-Aug-17,76,90,83,0.34
25-Aug-17,77,88,82.5,0.01
26-Aug-17,75,83,79,0.05
27-Aug-17,74,84,79,0.46
28-Aug-17,73,88,80.5,-
29-Aug-17,71,90,80.5,-
30-Aug-17,71,90,80.5,-
31-Aug-17,71,90,80.5,-
1-Sep-17,70,92,81,-
2-Sep-17,72,96,84,-
3-Sep-17,73,96,84.5,-
4-Sep-17,74,95,84.5,-
5-Sep-17,73,91,82,-
6-Sep-17,65,85,75,-
7-Sep-17,61,86,73.5,-
8-Sep-17,62,85,73.5,-
9-Sep-17,65,87,76,-
10-Sep-17,64,87,75.5,-
11-Sep-17,66,86,76,-
12-Sep-17,60,85,72.5,-
13-Sep-17,62,91,76.5,-
14-Sep-17,65,98,81.5,-
15-Sep-17,74,95,84.5,-
16-Sep-17,74,95,84.5,-
17-Sep-17,74,96,85,-
18-Sep-17,73,95,84,-
19-Sep-17,76,98,87,-
20-Sep-17,78,99,88.5,-
21-Sep-17,78,97,87.5,-
22-Sep-17,75,95,85,-
23-Sep-17,73,96,84.5,-
24-Sep-17,74,94,84,-
25-Sep-17,72,93,82.5,-
26-Sep-17,77,91,84,-
27-Sep-17,72,92,82,0.17
28-Sep-17,69,79,74,0.16
29-Sep-17,67,72,69.5,0.14
30-Sep-17,65,86,75.5,-
1-Oct-17,66,89,77.5,-
2-Oct-17,68,93,80.5,-
3-Oct-17,74,90,82,0.33
4-Oct-17,75,88,81.5,0.01
5-Oct-17,69,89,79,-
6-Oct-17,70,90,80,-
7-Oct-17,65,89,77,-
8-Oct-17,58,91,74.5,-
9-Oct-17,66,96,81,-
10-Oct-17,55,72,63.5,0.08
11-Oct-17,50,76,63,-
12-Oct-17,59,88,73.5,-
13-Oct-17,67,93,80,-
14-Oct-17,72,93,82.5,-
15-Oct-17,56,80,68,0.13
16-Oct-17,49,74,61.5,-
17-Oct-17,50,77,63.5,-
18-Oct-17,49,84,66.5,-
19-Oct-17,59,83,71,-
20-Oct-17,62,84,73,-
21-Oct-17,63,90,76.5,-
22-Oct-17,52,76,64,1.53
23-Oct-17,49,84,66.5,-
24-Oct-17,55,74,64.5,-
25-Oct-17,45,82,63.5,-
26-Oct-17,51,86,68.5,-
27-Oct-17,39,68,53.5,-
28-Oct-17,34,61,47.5,-
29-Oct-17,36,80,58,-
30-Oct-17,45,77,61,-
31-Oct-17,48,60,54,0.04
1-Nov-17,53,81,67,-
2-Nov-17,64,94,79,-
3-Nov-17,54,72,63,-
4-Nov-17,57,90,73.5,-
5-Nov-17,70,94,82,-
6-Nov-17,57,75,66,-
